1;17-04-05 10:00:00;17-04-08 20:00:00;Rock am Ring;1
2;17-05-05 10:00:00;17-05-08 18:00:00;Rock im Park;2
3;17-04-06 10:00:00;17-04-09 20:00:00;Hurricane;3
4;17-04-12 12:00:00;17-03-15 18:00:00;Southside;4
5;17-05-11 10:00:00;17-05-14 22:00:00;Tomorrowland;5
6;17-06-05 10:00:00;17-06-08 20:00:00;Utopia Island;6
7;17-07-12 10:00:00;17-07-15 20:00:00;Festland Musikfestival;7
8;17-07-08 10:00:00;17-07-12 20:00:00;Rock im Pott;8
9;17-08-05 10:00:00;17-08-08 20:00:00;Reload Festival;9
10;17-06-15 10:00:00;17-06-18 20:00:00;Tollwood Summerfestival;10
